Reservoir,SpectralRadius,InputScaling,Accuracy,F1
10,0.1,0.01,0.9531,0.9482
10,0.1,0.1,0.9531,0.9482
10,0.1,0.5,0.9531,0.9482
10,0.1,0.58,0.9531,0.9482
10,0.1,1,0.9531,0.9482
10,0.29,0.01,0.9531,0.9482
10,0.29,0.1,0.9531,0.9482
10,0.29,0.5,0.9531,0.9482
10,0.29,0.58,0.9531,0.9482
10,0.29,1,0.9531,0.9482
10,0.7,0.01,0.9531,0.9482
10,0.7,0.1,0.9531,0.9482
10,0.7,0.5,0.9531,0.9482
10,0.7,0.58,0.9531,0.9482
10,0.7,1,0.9531,0.9482
10,0.8,0.01,0.9523,0.9471
10,0.8,0.1,0.9523,0.9471
10,0.8,0.5,0.9523,0.9471
10,0.8,0.58,0.9523,0.9471
10,0.8,1,0.9523,0.9471
20,0.1,0.01,0.9538,0.9487
20,0.1,0.1,0.9538,0.9487
20,0.1,0.5,0.9538,0.9487
20,0.1,0.58,0.9538,0.9487
20,0.1,1,0.9538,0.9487
20,0.29,0.01,0.9538,0.9487
20,0.29,0.1,0.9538,0.9487
20,0.29,0.5,0.9538,0.9487
20,0.29,0.58,0.9538,0.9487
20,0.29,1,0.9538,0.9487
20,0.7,0.01,0.9538,0.9487
20,0.7,0.1,0.9538,0.9487
20,0.7,0.5,0.9538,0.9487
20,0.7,0.58,0.9538,0.9487
20,0.7,1,0.9538,0.9487
20,0.8,0.01,0.953,0.9478
20,0.8,0.1,0.953,0.9478
20,0.8,0.5,0.953,0.9478
20,0.8,0.58,0.953,0.9478
20,0.8,1,0.953,0.9478
30,0.1,0.01,0.9539,0.9489
30,0.1,0.1,0.9539,0.9489
30,0.1,0.5,0.9539,0.9489
30,0.1,0.58,0.9539,0.9489
30,0.1,1,0.9539,0.9489
30,0.29,0.01,0.9539,0.9489
30,0.29,0.1,0.9539,0.9489
30,0.29,0.5,0.9539,0.9489
30,0.29,0.58,0.9539,0.9489
30,0.29,1,0.9539,0.9489
30,0.7,0.01,0.9539,0.9489
30,0.7,0.1,0.9539,0.9489
30,0.7,0.5,0.9539,0.9489
30,0.7,0.58,0.9539,0.9489
30,0.7,1,0.9539,0.9489
30,0.8,0.01,0.9532,0.948
30,0.8,0.1,0.9532,0.948
30,0.8,0.5,0.9532,0.948
30,0.8,0.58,0.9532,0.948
30,0.8,1,0.9532,0.948
40,0.1,0.01,0.954,0.9491
40,0.1,0.1,0.954,0.9491
40,0.1,0.5,0.954,0.9491
40,0.1,0.58,0.954,0.9491
40,0.1,1,0.954,0.9491
40,0.29,0.01,0.954,0.9491
40,0.29,0.1,0.954,0.9491
40,0.29,0.5,0.954,0.9491
40,0.29,0.58,0.954,0.9491
40,0.29,1,0.954,0.9491
40,0.7,0.01,0.954,0.9491
40,0.7,0.1,0.954,0.9491
40,0.7,0.5,0.954,0.9491
40,0.7,0.58,0.954,0.9491
40,0.7,1,0.954,0.9491
40,0.8,0.01,0.9533,0.9482
40,0.8,0.1,0.9533,0.9482
40,0.8,0.5,0.9533,0.9482
40,0.8,0.58,0.9533,0.9482
40,0.8,1,0.9533,0.9482
50,0.1,0.01,0.9541,0.9493
50,0.1,0.1,0.9541,0.9493
50,0.1,0.5,0.9541,0.9493
50,0.1,0.58,0.9541,0.9493
50,0.1,1,0.9541,0.9493
50,0.29,0.01,0.9541,0.9493
50,0.29,0.1,0.9541,0.9493
50,0.29,0.5,0.9541,0.9493
50,0.29,0.58,0.9541,0.9493
50,0.29,1,0.9541,0.9493
50,0.7,0.01,0.9541,0.9493
50,0.7,0.1,0.9541,0.9493
50,0.7,0.5,0.9541,0.9493
50,0.7,0.58,0.9541,0.9493
50,0.7,1,0.9541,0.9493
50,0.8,0.01,0.9534,0.9484
50,0.8,0.1,0.9534,0.9484
50,0.8,0.5,0.9534,0.9484
50,0.8,0.58,0.9534,0.9484
50,0.8,1,0.9534,0.9484
60,0.1,0.01,0.9541,0.9493
60,0.1,0.1,0.9541,0.9493
60,0.1,0.5,0.9541,0.9493
60,0.1,0.58,0.9541,0.9493
60,0.1,1,0.9541,0.9493
60,0.29,0.01,0.9541,0.9493
60,0.29,0.1,0.9541,0.9493
60,0.29,0.5,0.9541,0.9493
60,0.29,0.58,0.9541,0.9493
60,0.29,1,0.9541,0.9493
60,0.7,0.01,0.9541,0.9493
60,0.7,0.1,0.9541,0.9493
60,0.7,0.5,0.9541,0.9493
60,0.7,0.58,0.9541,0.9493
60,0.7,1,0.9541,0.9493
60,0.8,0.01,0.9534,0.9484
60,0.8,0.1,0.9534,0.9484
60,0.8,0.5,0.9534,0.9484
60,0.8,0.58,0.9534,0.9484
60,0.8,1,0.9534,0.9484
70,0.1,0.01,0.9542,0.9496
70,0.1,0.1,0.9542,0.9496
70,0.1,0.5,0.9542,0.9496
70,0.1,0.58,0.9542,0.9496
70,0.1,1,0.9542,0.9496
70,0.29,0.01,0.9542,0.9496
70,0.29,0.1,0.9542,0.9496
70,0.29,0.5,0.9542,0.9496
70,0.29,0.58,0.9542,0.9496
70,0.29,1,0.9542,0.9496
70,0.7,0.01,0.9542,0.9496
70,0.7,0.1,0.9542,0.9496
70,0.7,0.5,0.9542,0.9496
70,0.7,0.58,0.9542,0.9496
70,0.7,1,0.9542,0.9496
70,0.8,0.01,0.9535,0.9486
70,0.8,0.1,0.9535,0.9486
70,0.8,0.5,0.9535,0.9486
70,0.8,0.58,0.9535,0.9486
70,0.8,1,0.9535,0.9486
80,0.1,0.01,0.9542,0.9496
80,0.1,0.1,0.9542,0.9496
80,0.1,0.5,0.9542,0.9496
80,0.1,0.58,0.9542,0.9496
80,0.1,1,0.9542,0.9496
80,0.29,0.01,0.9542,0.9496
80,0.29,0.1,0.9542,0.9496
80,0.29,0.5,0.9542,0.9496
80,0.29,0.58,0.9542,0.9496
80,0.29,1,0.9542,0.9496
80,0.7,0.01,0.9542,0.9496
80,0.7,0.1,0.9542,0.9496
80,0.7,0.5,0.9542,0.9496
80,0.7,0.58,0.9542,0.9496
80,0.7,1,0.9542,0.9496
80,0.8,0.01,0.9535,0.9486
80,0.8,0.1,0.9535,0.9486
80,0.8,0.5,0.9535,0.9486
80,0.8,0.58,0.9535,0.9486
80,0.8,1,0.9535,0.9486
90,0.1,0.01,0.9542,0.9496
90,0.1,0.1,0.9542,0.9496
90,0.1,0.5,0.9542,0.9496
90,0.1,0.58,0.9542,0.9496
90,0.1,1,0.9542,0.9496
90,0.29,0.01,0.9542,0.9496
90,0.29,0.1,0.9542,0.9496
90,0.29,0.5,0.9542,0.9496
90,0.29,0.58,0.9542,0.9496
90,0.29,1,0.9542,0.9496
